SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
590113,HNGSNG BEES ,E ,Q,3015.55,3015.55,3001.60,3001.60,3001.60,3100.00,2,13,39146.00,
590115,M50 ETF     ,B ,Q,114.00,114.00,113.55,113.55,113.55,117.40,4,52,5905.00,
590122,ASHIKACR    ,X ,Q,37.80,38.05,36.95,37.50,38.05,37.50,398,71664,2715249.00,
590126,GRADIENTE   ,XT,Q,1.60,1.60,1.57,1.57,1.57,1.60,11,32240,50780.00,
590134,MADRASFERT  ,B ,Q,23.20,24.45,22.00,23.00,23.35,24.95,296,60207,1387372.00,
715014,815LTFH2020 ,F ,P,101.03,101.04,101.03,101.04,101.04,107.74,3,1000,101038.00,
717502,JSW NCPS    ,F ,P,3.60,3.60,3.60,3.60,3.60,3.60,2,1800,6480.00,
717503,ZEE NCPS    ,F ,P,5.28,5.28,5.23,5.25,5.27,5.29,89,4760368,24997679.00,
800252,SGB2016I    ,G ,B,3115.50,3115.50,3115.50,3115.50,3115.50,3150.14,1,1,3115.00,
800254,SGBAUG24    ,G ,B,3174.00,3288.93,3174.00,3288.93,3288.93,3206.00,7,52,169013.00,
800258,SGB2016IIA  ,G ,B,2955.00,3245.00,2955.00,3245.00,3245.00,3250.00,2,26,79730.00,
800259,SGB2016IIIA ,G ,B,3121.00,3170.10,3121.00,3170.10,3170.10,3200.00,2,26,81195.00,
800269,SGBJULY25   ,G ,B,3121.03,3121.03,3121.03,3121.03,3121.03,3186.08,1,5,15605.00,
800292,SGBFEB27    ,G ,B,3090.00,3090.00,3090.00,3090.00,3090.00,2955.00,1,5,15450.00,
890144,TATASTEELPP ,A ,Q,61.00,61.00,57.85,58.20,58.20,61.20,846,79286,4698843.00,
890145,IBVENTUREPP ,B ,Q,182.90,182.90,167.40,172.30,172.30,185.95,40,4386,760500.00,
934784,LTFINNCDIV  ,F ,D,1032.70,1032.70,1032.70,1032.70,1032.70,1029.25,1,10,10327.00,
934950,0MFL19K     ,F ,D,1897.00,1897.00,1897.00,1897.00,1897.00,1892.00,5,35,66395.00,
935016,IIFLHFL202  ,F ,D,1000.00,1000.00,996.56,1000.00,1000.00,1000.00,9,402,401993.00,
935088,12ECL20I    ,F ,D,999.01,999.01,999.00,999.00,999.00,1000.00,2,52,51948.00,
935248,12MFL20D    ,F ,D,1020.00,1020.00,1020.00,1020.00,1020.00,1025.60,1,15,15300.00,
935262,1225MFL20K  ,F ,D,1650.01,1650.01,1650.01,1650.01,1650.01,1800.00,3,100,165001.00,
935290,1125SREI19G ,F ,D,995.00,995.00,995.00,995.00,995.00,998.00,1,20,19900.00,
